Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
entity.FRMDwelling, , , , , , , , , , , , , , , 
Dwelling:(1), , , , , , , , , , , , , , , 
Coverage A - Dwelling - Water, , , , , , , , , , , , , , , 
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , 
, Coverage_Water (1), , , , , , , , , , , , , , 
, PolicySizeFactor, , , , , , , , , 1.0, ←, , 1, , 1
, ContentOnlyFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0000000000000000000000000000000000000000, ←, , table:Number Of Families.Water, , "(5, 4) = 1"
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Water, , "(5, 4) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Pool.Water, , "(5, true, true) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Water, , "(5, true) = 1"
, PolicySizeFactor, , , , , , , , , 0.9370072000, ←, , table:PolicySizeRelativity.Water, , "(5, 225004, Cov A) = 0.9370072"
, ContentOnlyFactor, , , , , , , , , 1.026613104000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:Sq Feet Stories.Water, , "(<<1990,1990>>, Cov A, 2) = 1.034"
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Water, , "(<<113,113>>) = 0.984"
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Water, , "(1, 2) = 1.009"
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Water, , (Basement-2_Ext) = 1
, , CONTINUE, , , , , , , , , ×, , table:Perils.Water, , "(5, Special, Cov A) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Water, , "(5, Heating, <<42,42>>, <<42,42>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Water, , "(5, Plumbing, <<42,42>>, <<42,42>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Water, , "(5, Electrical, <<42,42>>, <<42,42>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Water, , "(TurretModeratePitch, null, <<1977,1977>>, Kosciusko) = 1"
, IFactor, , , , , , , , , 0.0, ←, , 0, , 0
, JFactor, , , , , , , , , 0.0, ←, , 0, , 0
, KFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MFactor, , , , , , , , , 0.0, ←, , 0, , 0
, NFactor, , , , , , , , , 0.0, ←, , 0, , 0
, OFactor, , , , , , , , , 0.0, ←, , 0, , 0
, QFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartCameraFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartLightFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartSmokeAlarmFactor, , , , , , , , , 0.0, ←, , 0, , 0
, WaterLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GasLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GeneratorFactor, , , , , , , , , 0.0, ←, , 0, , 0
, AutTempDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, ADFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CRFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MaxCreditPerPeril, , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Water, , "(5, Max, Cov A) = 0.2"
, AllDiscount, , , , , , , , , 0.0, ←, , IFactor, , 0
, , CONTINUE, , , , , , , , , +, , JFactor, , 0
, , CONTINUE, , , , , , , , , +, , KFactor, , 0
, , CONTINUE, , , , , , , , , +, , MFactor, , 0
, , CONTINUE, , , , , , , , , +, , NFactor, , 0
, , CONTINUE, , , , , , , , , +, , OFactor, , 0
, , CONTINUE, , , , , , , , , +, , QFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, , 0
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, , 0
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , ADFactor, , 0
, , CONTINUE, , , , , , , , , +, , CFactor, , 0
, , CONTINUE, , , , , , , , , +, , CRFactor, , 0
, FinalFactor, , , , , , , , , 1.0, ←, , 1, , 1
, , CONTINUE, , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0.2) = 0"
